fold;model;bias;Width;Height;Density;Growth-ring width;Test span;Dynamic E;dataset
91;physics;90,9273469387755;-61,97779793514465;35,0820844769191;5,244855798977941;-3,391965981394491;24,735942241743757;2,913420033686407;original
92;physics;90,76183673469386;-61,101472503507956;31,779939540734183;5,304442150382354;-3,307722841957705;26,926968910017536;2,8839424556774267;original
93;physics;90,88051020408162;-61,53833680426351;33,168734589736665;5,332757811261396;-3,4632788882922707;26,113215238940537;2,7468681719150223;original
94;physics;90,67775510204079;-55,65257832482057;27,693076119040597;5,394770126065065;-3,3107939773177506;25,713763764319413;2,7805288957582515;original
95;physics;90,78408163265304;-60,06522607510321;31,619365954670556;5,8040961295365765;-3,36885199056656;26,2862005785559;2,5486150508512875;original
96;physics;90,67153061224488;-62,828432981063344;32,563963066471146;5,1868145726741;-3,272775739631217;27,82999394986671;2,9849097032452843;original
97;physics;90,66928571428569;-63,82276727242706;34,02841481292555;5,247741987899104;-3,273396337518015;27,347788148967876;2,933437792595093;original
98;physics;90,64295918367344;-60,28085352881966;30,618558772618194;5,262620449309311;-3,3055406900951163;27,194963710298357;2,866672554418426;original
99;physics;90,91795918367345;-59,90065821807546;31,32868990491397;5,342101963778734;-3,2469882520902766;26,2523268431796;2,8118596755630425;original
1;normal;91,34709677419352;-162,12684480726233;120,76387440694413;7,04802358587782;-2,1555765804991642;39,371707812586166;2,670929882039027;cleaned
2;normal;91,41215053763439;-158,67529275039692;107,23025517884223;6,763191545388924;-2,4139378084294147;49,49693833116365;2,619698050414556;cleaned
3;normal;91,45763440860213;-147,81622111337742;105,52392016413849;6,58295074718167;-2,4603692083083595;40,28662996752118;2,720398487694494;cleaned
4;normal;91,55204301075267;-141,90370037147218;102,82998370417754;6,6512173415715035;-2,4566934968998058;37,02033185940554;2,482292424950237;cleaned
5;normal;91,43860215053762;-147,35367659715777;104,33019076013694;6,6014562560550045;-2,534708605895753;41,002269293670224;2,647932275242389;cleaned
6;normal;91,47225806451611;-159,3753582193172;107,47250990816865;6,73294313591809;-2,403532300015574;49,95780256712688;2,607421979355337;cleaned
7;normal;91,24301075268815;-162,42656678030224;105,58086117103885;6,959578209908485;-2,4331790209995225;54,97053647890903;2,445627798736624;cleaned
8;normal;91,34032258064515;-161,48206424601395;109,92689054069506;6,821536689680219;-2,365751386371611;49,693516621660045;2,662010903516716;cleaned
9;normal;91,27247311827955;-161,2676835939043;108,360777859954;6,79983042697424;-2,3993164068695427;50,99007061617069;2,649632241344076;cleaned
10;normal;91,1795698924731;-161,6648208742334;107,13798909339904;6,7728144115829325;-2,3838738521649874;52,591871147074826;2,622341796820511;cleaned
