fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
49;48;48;78,25;82,84236866881089;2,3832310083453385;-4,592368668810892;4,592368668810892;21,08984999027592;4,592368668810892;80,45913766046556;6473,672833065747;56,74359543679377;64,9105313379355;47,49176859561949;4354,690685579002;50,0;20,0;441,93;1,97;560,0;12009,0
66;65;65;104,71;100,3802652492336;11,720805620606585;4,3297347507663915;4,3297347507663915;18,746603011994107;4,3297347507663915;88,65945962862702;7860,499781640145;279,06680049063294;63,39700816664036;47,645646550229515;3937,8404041027106;50,0;20,0;529,95;1,04;560,0;14446,0
27;26;26;97,58;93,328909620646;31,81766522212863;4,251090379353997;4,251090379353997;18,071769413436108;4,251090379353997;61,51124439851738;3783,633187454135;62,60676128566381;75,03701874484823;47,6295870014794;6851,857935842205;14,74;5,8;492,58;1,89;168,0;14953,07
54;53;53;82,03;85,86427867158815;12,718972490427614;-3,8342786715881516;3,8342786715881516;14,701692931395801;3,8342786715881516;73,14530618116054;5350,235816335721;302,8326783435146;64,98212768392986;47,56700223492556;4353,781362251073;50,0;20,0;452,0;1,66;560,0;12304,0
50;49;49;78,79;82,519450018187;5,166151870318791;-3,729450018186995;3,729450018186995;13,908797438154977;3,729450018186995;77,35329814786822;5983,5327343529925;123,00361595997121;63,48864116766486;47,572397554924436;3979,0609031851054;50,0;20,0;440,5;2,0;560,0;12034,0
34;33;33;110,07;106,58705802044;14,762062222801122;3,482941979559996;3,482941979559996;12,130884832981303;3,482941979559996;91,82499579763888;8431,829853236397;30,981156037806407;66,82979279506921;47,662655223677966;4791,7843928478105;14,74;5,99;570,27;1,47;168,0;15802,14
20;19;19;99,18;102,5887877217148;87,30007387615767;-3,4087877217147877;3,4087877217147877;11,619833731713493;3,4087877217147877;15,288713845557126;233,74477105133016;183,97032796738043;63,31807587947023;47,61899604066922;3924,769959700253;14,95;5,96;514,48;0,96;168,0;16695,87
99;98;98;72,99;76,36955205787083;0,4074086862450982;-3,379552057870839;3,379552057870839;11,421372111859023;3,379552057870839;75,96214337162574;5770,247225611425;39,0868310071627;65,96730993072435;47,6472796692897;4580,007565358665;101,04;39,94;478,07;2,51;1120,0;11002,0
48;47;47;74,72;78,09795022090343;1,0751893380307795;-3,377950220903429;3,377950220903429;11,410547694901526;3,377950220903429;77,02276088287265;5932,505694020177;25,599746143589986;67,05582755282083;47,62515980789644;4857,666936231097;50,0;20,0;439,6;2,88;560,0;12054,0
69;68;68;90,47;93,84259371707763;12,293954570156338;-3,372593717077635;3,372593717077635;11,374388380471537;3,372593717077635;81,54863914692129;6650,180546714783;292,71320405134134;63,703393548416344;47,60757347357346;4023,955018710722;50,0;20,0;508,33;1,73;560,0;13791,0
9;8;8;88,32;85,28338674992153;141,97232508469793;3,03661325007846;3,03661325007846;9,221020030552069;3,03661325007846;-56,688938334776395;3213,635729524081;297,38186651169474;65,64877899327897;47,679103093648706;4492,418974907564;14,86;5,96;452,31;1,87;168,0;11792,66
11;10;10;103,27;106,23357410324351;17,283284690644923;-2,9635741032435163;2,9635741032435163;8,782771465415612;2,9635741032435163;88,9502894125986;7912,153986585049;34,14032791689775;66,55909144244431;47,639563810451904;4729,881907998102;14,9;5,78;524,88;0,73;168,0;18214,39
22;21;21;90,23;87,30130506159955;59,36687541745667;2,9286949384004544;2,9286949384004544;8,577254042212441;2,9286949384004544;27,93442964414288;780,3323595435686;130,28139589262213;63,696478017968474;47,65681045044556;4009,9168918807272;14,96;6,08;481,05;2,2;168,0;11923,5
